thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,force_advance_2.keys,force_advance_2.rt,force_advance_2.duration,force_end_of_routine_if_pressed_2.keys,force_end_of_routine_if_pressed_2.rt,force_end_of_routine_if_pressed_2.duration,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.force_advance.keys,info_loop.force_advance.rt,info_loop.force_advance.duration,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,Intro.stopped,text_iti_fixation.started,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,response_time_into_iti,trials.force_advance_2.rt,trials.force_advance_2.duration,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,block.force_end_of_routine_if_pressed_2.rt,block.force_end_of_routine_if_pressed_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03408412495627999,0.034481790964491665,True,practice_1back,[1],5,1,main_1back,[1],60,1,practice_2back,[2],5,1,main_2back,[2],60,1,practice_0back,[0],5,1,main_0back,[0],60,1,6,1.75,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-06_14h18.09.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979580,001,2026-02-06_14h18.09.987,n-back,2024.2.4,None,2026-02-06 14h18.17.223091 -0800,
0,0,0,None,['left'],-1,[0.4219244159758091],[0.10244258400052786],None,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.381501958006993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08099166600732133,0.0861636659828946,0.0861636659828946,0.0926844166397738,2.3369230416758606,2.525540207978338,4.222308165975846,None,f,4.108723541954532,None,4.385552499967162,4.444773665978573,4.444773665978573,5.370825416001026,None,5.376347499957774,5.381501958006993,5.385186082629176,5.381501958006993,5.381501958006993,True,6.1191856659715995,6.1191856659715995,6.3027581659844145,True,7.8652420829748735,7.867623750003986,practice_1back,Practice 1-back,1,0,979580,001,2026-02-06_14h18.09.987,1,1,1,1_back,5,1,1,1,0,1,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,N/A,128,baseline,None,left,non_target_response,421.92,0.4219,N/A,N/A,baseline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2.4958980419905856,N/A,N/A,N/A,N/A,N/A,N/A,1,left,421.92,1.75,1.75,0.0,0.75,2.5,during_stimulus,['left'],-1,[0.4219244159758091],[0.10244258400052786],None,7.877812416001689,7.881347791000735,7.881347791000735,8.105552416003775,,,,,,,,,,,,,,,,,,,,,,,,,,,979580,001,2026-02-06_14h18.09.987,n-back,2024.2.4,None,2026-02-06 14h18.17.223091 -0800,
1,0,1,None,['left'],1,[0.26287020900053903],[0.08469308295752853],None,,,,,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,8.11516099999426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.107511707989033,8.11516099999426,8.120289541668415,8.11516099999426,8.11516099999426,True,8.853041749971453,8.853041749971453,9.031996749981772,True,10.598595790972468,10.60094862501137,practice_1back,Practice 1-back,1,0,979580,001,2026-02-06_14h18.09.987,1,1,1,1_back,5,1,2,2,1,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,256,non-target,False,left,non_target_response,262.87,0.2629,1,True,correct_rejection,0,0,0,1,0,0,1.0,1,1,2.4945665419800207,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,N/A,N/A,N/A,N/A,1,left,262.87,1.75,1.75,0.0,0.75,2.5,during_stimulus,['left'],1,[0.26287020900053903],[0.08469308295752853],None,10.610093750001397,10.613138499960769,10.613138499960769,10.838995040976442,,,,,,,,,,,,,,,,,,,,,,,,,,,979580,001,2026-02-06_14h18.09.987,n-back,2024.2.4,None,2026-02-06 14h18.17.223091 -0800,
2,0,2,None,None,0,,,f,0.05466845800401643,None,,,,0,0,0,0,0,0,0,0,,,,,2,0,2,0,10.848536957986653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.841381165955681,10.848536957986653,10.853565541623782,10.848536957986653,10.848536957986653,True,,,,,,10.90677495795535,practice_1back,Practice 1-back,1,0,979580,001,2026-02-06_14h18.09.987,1,1,1,1_back,5,1,3,3,2,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,512,non-target,False,none,no_response,None,None,0,False,no_response_on_non_target,0,0,0,0,0,1,0.5,1,2,0.06560704100411385,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,N/A,N/A,0,none,None,1.75,1.75,0.0,0.75,2.5,no_response,None,0,,,f,11.085491125006229,11.092809916008264,11.092809916008264,11.305026874993928,N/A,0.05466845800401643,None,,,,,,,,,,,,,,,,,,,,,,,,979580,001,2026-02-06_14h18.09.987,n-back,2024.2.4,None,2026-02-06 14h18.17.223091 -0800,
3,0,3,None,None,0,,,f,0.07516304199816659,None,,,,0,0,0,0,0,0,0,0,,,,,3,0,3,0,11.315221666009165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.306410749966744,11.315221666009165,11.319714374669518,11.315221666009165,11.315221666009165,True,,,,,,11.402189207961783,practice_1back,Practice 1-back,1,0,979580,001,2026-02-06_14h18.09.987,1,1,1,1_back,5,1,4,4,3,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,256,non-target,False,none,no_response,None,None,0,False,no_response_on_non_target,0,0,0,0,0,1,0.3333,1,3,0.09502137498930097,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,0,none,None,1.75,1.75,0.0,0.75,2.5,no_response,None,0,,,f,11.565356999984942,11.576322124979924,11.576322124979924,11.800436290970538,N/A,0.07516304199816659,None,,,,,,,,,,,,,,,,,,,,,,,,979580,001,2026-02-06_14h18.09.987,n-back,2024.2.4,None,2026-02-06 14h18.17.223091 -0800,
4,0,4,None,None,0,,,f,0.03730791696580127,None,,,,0,0,0,0,0,0,0,0,,,,,4,0,4,0,11.803793250001036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.801608540990856,11.803793250001036,11.815195124658446,11.803793250001036,11.803793250001036,True,,,,,,11.85246141598327,practice_1back,Practice 1-back,1,0,979580,001,2026-02-06_14h18.09.987,1,1,1,1_back,5,1,5,5,4,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,512,non-target,False,none,no_response,None,None,0,False,no_response_on_non_target,0,0,0,0,0,1,0.25,1,4,0.04980837501352653,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,0,none,None,1.75,1.75,0.0,0.75,2.5,no_response,None,0,,,f,12.015486832999159,12.031184207997285,12.031184207997285,12.250685040955432,N/A,0.03730791696580127,None,,,,,,,,,,,,,,,,,,,,,,,,979580,001,2026-02-06_14h18.09.987,n-back,2024.2.4,None,2026-02-06 14h18.17.223091 -0800,
5,0,5,None,None,0,,,f,0.14848474995233119,None,,,,0,0,0,0,0,0,0,0,,,,,5,0,5,0,12.25479166599689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.251675665960647,12.25479166599689,12.265284249621134,12.25479166599689,12.25479166599689,True,,,,,,12.407077499956358,practice_1back,Practice 1-back,1,0,979580,001,2026-02-06_14h18.09.987,1,1,1,1_back,5,1,6,6,5,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,512,target,True,none,no_response,None,None,0,False,miss_no_response_on_target,0,0,1,0,0,0,0.2,1,5,0.1544539580354467,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,0,none,None,1.75,1.75,0.0,0.75,2.5,no_response,None,0,,,f,12.570223749964498,12.58295004098909,12.58295004098909,12.804969666001853,N/A,0.14848474995233119,None,,,,,,,,,,,,,,,,,,,,,,,,979580,001,2026-02-06_14h18.09.987,n-back,2024.2.4,None,2026-02-06 14h18.17.223091 -0800,
0,0,0,None,,,,,,,,f,0.03399633400840685,None,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice_1back,Practice 1-back,,0,,001,2026-02-06_14h18.09.987,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.2,1,5,1,0,0,1,1,0,1,3,0.0,0.0,0.0,12.825640540977474,12.829255374963395,12.829255374963395,12.836193999341535,12.868106415960938,f,0.03399633400840685,None,979580,001,2026-02-06_14h18.09.987,n-back,2024.2.4,None,2026-02-06 14h18.17.223091 -0800,
0,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-06_14h18.09.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979580,001,2026-02-06_14h18.09.987,n-back,2024.2.4,None,2026-02-06 14h18.17.223091 -0800,
0,0,0,None,None,1,,,f,0.6704629579908215,None,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00605641596485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.05808462499408,13.064717833010945,13.064717833010945,13.065179290995003,,,13.85192033299245,None,f,0.7740030830027536,None,14.017036082979757,14.028134082967881,14.028134082967881,15.000591957999859,None,15.002831832971424,15.00605641596485,15.015208874658372,15.00605641596485,15.00605641596485,True,,,,,,15.685419415996876,main_1back,Main 1-back,2,0,979580,001,2026-02-06_14h18.09.987,2,1,1,1_back,60,1,1,1,0,1,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,N/A,128,baseline,None,none,no_response,None,None,N/A,N/A,baseline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0.6828360409708694,N/A,N/A,N/A,N/A,N/A,N/A,0,none,None,1.75,1.75,0.0,0.75,2.5,no_response,None,1,,,f,15.858922124956734,15.864939082995988,15.864939082995988,16.083678791008424,N/A,0.6704629579908215,None,,,,,,,,,,,,,,,,,,,,,,,,979580,001,2026-02-06_14h18.09.987,n-back,2024.2.4,None,2026-02-06 14h18.17.223091 -0800,
1,0,1,None,None,0,,,f,0.16431587497936562,None,,,,1,0,1,0,0,0,0,0,,,,,1,0,1,0,16.089293500001077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.086364832997788,16.089293500001077,16.098408624650133,16.089293500001077,16.089293500001077,True,,,,,,16.257206207956187,main_1back,Main 1-back,2,0,979580,001,2026-02-06_14h18.09.987,2,1,1,1_back,60,1,2,2,1,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,880,non-target,False,none,no_response,None,None,0,False,no_response_on_non_target,0,0,0,0,0,1,0.0,0,1,0.17137170798378065,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,N/A,N/A,N/A,N/A,0,none,None,1.75,1.75,0.0,0.75,2.5,no_response,None,0,,,f,16.43153608299326,16.43899795797188,16.43899795797188,16.655337082978804,N/A,0.16431587497936562,None,,,,,,,,,,,,,,,,,,,,,,,,979580,001,2026-02-06_14h18.09.987,n-back,2024.2.4,None,2026-02-06 14h18.17.223091 -0800,
2,0,2,None,None,0,,,f,0.12055774999316782,None,,,,1,0,1,0,0,0,0,0,,,,,2,0,2,0,16.665309333009645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.656557250011247,16.665309333009645,16.66985958267857,16.665309333009645,16.665309333009645,True,,,,,,16.790025707974564,main_1back,Main 1-back,2,0,979580,001,2026-02-06_14h18.09.987,2,1,1,1_back,60,1,3,3,2,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,880,target,True,none,no_response,None,None,0,False,miss_no_response_on_target,0,0,1,0,0,0,0.0,0,2,0.13252250000368804,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0_base_amplitude0.5.wav,duration0.75s,N/A,N/A,0,none,None,1.75,1.75,0.0,0.75,2.5,no_response,None,0,,,f,16.953268832992762,16.964410082960967,16.964410082960967,17.188894999970216,N/A,0.12055774999316782,None,,,,,,,,,,,,,,,,,,,,,,,,979580,001,2026-02-06_14h18.09.987,n-back,2024.2.4,None,2026-02-06 14h18.17.223091 -0800,
3,0,3,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,17.198499999998603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.19025479099946,17.198499999998603,17.20347312465698,17.198499999998603,17.198499999998603,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
